#  phi   psi
-56.0342 142.987
-71.7845 123.289
-68.9482 134.015
-65.2729 133.133
-96.1221 132.107
-61.5955 128.102
-104.41 137.848
-92.0981 137.929
-96.5809 146.902
-109.511 128.24
-110.651 134.314
-56.0965 132.923
-62.0278 109.723
-97.3142 131.57
-113.305 128.508
-121.277 132.714
-121.408 139.331
-120.687 158.014
-128.999 144.346
-72.6334 138.043
-77.8284 126.171
-83.5655 118.124
-81.1908 142.219
-106.296 116.392
-90.2554 141.697
-91.7245 160.889
-79.2147 143.715
-83.2298 133.984
-69.6627 137.987
-90.4067 136.303
-69.9979 143.933
-64.3266 116.533
-81.8106 141.516
-76.8032 94.9382
-59.59 102.003
-74.3623 121.764
-76.3072 107.27
-89.7675 130.458
-86.2512 136.22
-86.8802 91.5167
-67.2959 126.729
-77.7062 146.686
-55.8481 149.648
-115.006 129.763
-64.693 134.094
-81.9118 131.561
-61.8858 137.235
-75.1579 145.453
-75.423 125.294
-58.6167 121.784
-71.9352 140.273
-85.4225 137.922
-83.0122 120.822
-86.404 144.904
-67.2605 132.176
-89.7203 115.059
-53.5616 121.265
-85.8043 133.263
-74.9029 134.453
-93.8724 125.774
-69.1772 145.391
-82.3232 115.248
-75.9125 130.87
-92.4618 141.022
-74.2803 137.969
-86.542 111.756
-85.2357 130.807
-80.2756 148.862
-93.9415 141.796
-110.401 132.131
-121.571 139.599
-123.303 148.357
-97.3479 144.092
-111.336 153.198
-107.707 140.246
-108.898 141.593
-122.645 145.002
-111.66 147.913
-109.856 122.742
-120.336 147.461
-127.749 132.811
-128.309 138.923
-80.3581 144.275
-69.0618 139.742
-62.6186 131.432
-79.431 131.675
-83.5162 132.044
-93.2414 146.927
-89.7997 152.396
-94.321 143.778
-67.7229 121.003
-61.5896 142.312
-88.6243 131.252
-74.1495 132.152
-79.4381 111.802
-84.0976 151.128
-88.9248 126.674
-93.7461 138.663
-95.0882 125.238
-88.0957 151.806
-69.904 142.012
-56.5796 128.79
-89.924 128.476
-67.3383 135.978
-74.7451 119.058
-71.4697 119.21
-72.5319 129.671
-76.0124 132.405
-72.6016 109.253
-78.9529 134.372
-99.6845 124.288
-118.15 129.465
-94.98 128.115
-90.896 134.235
-81.1534 138.344
-66.5324 118.131
-71.6043 121.413
-81.7399 135.084
-84.8933 126.396
-81.5571 129.865
-84.7772 128.636
-76.4112 119.839
-99.1457 112.535
-85.1284 127.959
-67.1416 127.423
-64.6972 101.556
-66.1738 112.505
-81.3771 115.854
-77.1429 117.516
-69.8629 116.027
-69.6657 127.16
-77.3694 124.914
-81.3627 116.642
-76.6881 123.694
-64.9373 107.679
-81.4036 99.8265
-74.8189 126.76
-77.9731 126.843
-71.9225 142.102
-106.519 104.849
-80.6269 139.611
-64.2276 117.93
-102.874 135.59
-95.2785 132.884
-83.5319 124.214
-72.9072 121.876
-73.1981 124.927
-86.8551 125.26
-76.7372 118.549
-69.8603 145.156
-71.821 129.103
-86.157 157.816
-80.7546 137.168
-74.7348 136.046
-74.81 147.787
-89.2475 148.854
-112.2 168.243
-97.0949 136.223
-89.6312 138.672
-66.2418 112.043
-63.4604 137.459
